Equipment Name,Type,Flowrate,Pressure,Temperature
Compressor-87,Compressor,962.1,192.64,184.44
Reactor-88,Reactor,932.14,98.53,247.15
Storage Tank-89,Storage Tank,133.64,27.92,206.9
Valve-90,Valve,484.06,142.66,169.24
Pump-91,Pump,180.75,31.84,36.37
Reactor-92,Reactor,531.13,67.0,79.54
Pump-93,Pump,709.77,140.41,175.22
Reactor-94,Reactor,368.92,58.36,251.63
Distillation Column-95,Distillation Column,978.19,174.93,268.65
Storage Tank-96,Storage Tank,504.26,115.12,152.35
Valve-97,Valve,842.78,108.62,362.21
Storage Tank-98,Storage Tank,327.38,14.58,412.96
Storage Tank-99,Storage Tank,101.34,52.42,499.77
Distillation Column-100,Distillation Column,228.77,199.38,107.97
Reactor-101,Reactor,758.32,106.96,345.05
Compressor-102,Compressor,951.71,52.19,479.37
Distillation Column-103,Distillation Column,523.47,23.69,324.43
Compressor-104,Compressor,921.65,128.79,275.19
Reactor-105,Reactor,754.01,8.05,197.99
Distillation Column-106,Distillation Column,596.03,188.55,460.33
Compressor-107,Compressor,232.05,89.27,159.05
Reactor-108,Reactor,620.27,176.9,44.09
Reactor-109,Reactor,564.53,186.65,435.34
Valve-110,Valve,299.56,154.88,279.26
Pump-111,Pump,811.56,155.56,403.51
Valve-112,Valve,543.64,24.99,385.3
Heat Exchanger-113,Heat Exchanger,910.22,108.63,113.6
Reactor-114,Reactor,396.81,33.83,429.14
Pump-115,Pump,699.62,60.75,253.14
Heat Exchanger-116,Heat Exchanger,363.61,8.4,216.12
Storage Tank-117,Storage Tank,318.91,197.85,443.9
Distillation Column-118,Distillation Column,593.83,169.14,41.76
Distillation Column-119,Distillation Column,584.79,24.5,279.62
Storage Tank-120,Storage Tank,701.69,3.86,107.68
Compressor-121,Compressor,622.69,145.11,261.09
Pump-122,Pump,816.58,197.9,191.56
Distillation Column-123,Distillation Column,963.7,34.5,146.4
Reactor-124,Reactor,637.82,107.87,109.35
Heat Exchanger-125,Heat Exchanger,310.84,12.48,269.08
Valve-126,Valve,245.4,145.27,414.26
Compressor-127,Compressor,154.63,34.42,381.26
Reactor-128,Reactor,802.49,166.22,367.86
Heat Exchanger-129,Heat Exchanger,154.51,165.03,296.98
Distillation Column-130,Distillation Column,374.08,158.45,123.85
Storage Tank-131,Storage Tank,689.99,34.32,340.97
Valve-132,Valve,222.87,102.36,179.06
Valve-133,Valve,710.03,53.11,387.13
Distillation Column-134,Distillation Column,856.03,28.25,69.13
Reactor-135,Reactor,491.45,184.28,54.6
Distillation Column-136,Distillation Column,25.07,108.44,58.69
Heat Exchanger-137,Heat Exchanger,427.82,92.39,262.42
Valve-138,Valve,859.96,46.97,353.58
Storage Tank-139,Storage Tank,504.69,199.38,71.48
Compressor-140,Compressor,506.63,161.21,324.3
Distillation Column-141,Distillation Column,345.67,80.83,171.07
Compressor-142,Compressor,865.86,199.57,452.69
Distillation Column-143,Distillation Column,147.74,184.98,459.73
Pump-144,Pump,699.95,54.39,300.98
Distillation Column-145,Distillation Column,81.77,176.94,432.73
Reactor-146,Reactor,68.22,195.04,122.57
Reactor-147,Reactor,808.95,17.98,206.12
Heat Exchanger-148,Heat Exchanger,332.53,115.31,102.04
Reactor-149,Reactor,862.36,41.31,251.8
Reactor-150,Reactor,667.85,23.05,427.79
Pump-151,Pump,959.17,52.6,399.35
Distillation Column-152,Distillation Column,681.91,190.75,432.6
Valve-153,Valve,432.12,95.53,216.09
Storage Tank-154,Storage Tank,66.07,97.5,92.1
Distillation Column-155,Distillation Column,826.85,71.97,91.66
Distillation Column-156,Distillation Column,171.63,185.49,159.99
Distillation Column-157,Distillation Column,421.75,167.17,293.33
Compressor-158,Compressor,907.78,133.0,487.69
Compressor-159,Compressor,164.09,51.54,275.45
Valve-160,Valve,111.56,77.23,440.36
Valve-161,Valve,411.32,174.36,155.22
Pump-162,Pump,709.21,69.75,446.61
Heat Exchanger-163,Heat Exchanger,878.82,140.14,173.77
Reactor-164,Reactor,615.34,83.75,24.52
Distillation Column-165,Distillation Column,893.13,46.98,380.18
Compressor-166,Compressor,980.72,193.87,183.48
Compressor-167,Compressor,586.03,130.03,185.18
Reactor-168,Reactor,527.63,43.25,468.94
Distillation Column-169,Distillation Column,732.05,36.42,253.48
Valve-170,Valve,940.78,186.52,118.07
Reactor-171,Reactor,806.45,101.46,402.88
Distillation Column-172,Distillation Column,678.34,16.79,297.02
Compressor-173,Compressor,95.76,162.84,440.52
Valve-174,Valve,740.69,177.27,220.73
Reactor-175,Reactor,750.45,170.29,37.72
Compressor-176,Compressor,657.56,112.62,240.93
Storage Tank-177,Storage Tank,684.95,69.21,477.64
Storage Tank-178,Storage Tank,76.01,179.86,225.82
Heat Exchanger-179,Heat Exchanger,108.91,147.65,54.02
Compressor-180,Compressor,990.12,117.26,393.57
Compressor-181,Compressor,94.62,60.87,119.14
Pump-182,Pump,394.98,62.47,112.3
Compressor-183,Compressor,497.69,73.86,390.53
Compressor-184,Compressor,529.97,163.67,328.24
Valve-185,Valve,410.44,101.66,103.51
Compressor-186,Compressor,273.5,63.29,386.06
Reactor-187,Reactor,985.29,10.02,394.39
Valve-188,Valve,265.87,33.35,348.19
Storage Tank-189,Storage Tank,912.55,60.62,292.46
Heat Exchanger-190,Heat Exchanger,472.42,73.96,353.13
Distillation Column-191,Distillation Column,594.15,165.44,380.71
Pump-192,Pump,981.2,130.21,225.06
Compressor-193,Compressor,580.76,158.15,323.83
Storage Tank-194,Storage Tank,784.07,133.86,258.13
Heat Exchanger-195,Heat Exchanger,407.98,188.69,268.7
Heat Exchanger-196,Heat Exchanger,880.86,12.41,384.15
Reactor-197,Reactor,119.0,48.67,66.07
Heat Exchanger-198,Heat Exchanger,250.6,4.93,235.13
Valve-199,Valve,298.8,56.08,445.88
Compressor-200,Compressor,995.77,154.62,254.35
Heat Exchanger-201,Heat Exchanger,15.17,23.13,168.74
Pump-202,Pump,261.02,20.99,424.52
Compressor-203,Compressor,641.01,123.84,463.61
Distillation Column-204,Distillation Column,729.26,7.48,329.09
Valve-205,Valve,179.35,192.29,218.38
Valve-206,Valve,835.0,116.1,375.0
Heat Exchanger-207,Heat Exchanger,241.83,194.6,255.6
Pump-208,Pump,696.61,66.58,286.92
Heat Exchanger-209,Heat Exchanger,289.21,150.08,381.02
Compressor-210,Compressor,788.66,74.0,468.98
Storage Tank-211,Storage Tank,103.32,50.25,278.48
Valve-212,Valve,550.69,196.81,80.85
Pump-213,Pump,806.27,82.41,319.11
Distillation Column-214,Distillation Column,698.22,173.07,187.56
Reactor-215,Reactor,348.63,52.35,343.17
Reactor-216,Reactor,256.54,67.64,247.25
Reactor-217,Reactor,12.4,8.62,71.98
Valve-218,Valve,72.18,74.76,369.3
Heat Exchanger-219,Heat Exchanger,309.62,180.84,63.09
Pump-220,Pump,10.64,5.73,236.73
Heat Exchanger-221,Heat Exchanger,811.47,153.66,297.57
Reactor-222,Reactor,151.43,128.08,456.21
Compressor-223,Compressor,884.4,82.17,487.04
Compressor-224,Compressor,643.75,120.24,336.14
Compressor-225,Compressor,270.94,86.91,389.85
Heat Exchanger-226,Heat Exchanger,66.24,160.82,350.32
Valve-227,Valve,352.5,64.88,439.72
Storage Tank-228,Storage Tank,480.42,68.91,278.14
Compressor-229,Compressor,181.55,72.71,440.34
Distillation Column-230,Distillation Column,259.56,157.09,20.35
Valve-231,Valve,541.44,183.73,192.23
Storage Tank-232,Storage Tank,931.57,149.36,108.55
Storage Tank-233,Storage Tank,63.17,107.08,60.48
Distillation Column-234,Distillation Column,154.98,185.38,294.76
Heat Exchanger-235,Heat Exchanger,909.54,69.74,276.7
Storage Tank-236,Storage Tank,787.54,31.14,455.54
Compressor-237,Compressor,418.07,61.41,115.14
Valve-238,Valve,863.57,22.02,185.79
Pump-239,Pump,234.27,196.15,453.42
Valve-240,Valve,88.92,85.29,333.67
Heat Exchanger-241,Heat Exchanger,100.62,135.01,134.52
Pump-242,Pump,833.25,133.79,456.6
Pump-243,Pump,258.47,12.19,61.46
Compressor-244,Compressor,35.42,108.73,87.22
Reactor-245,Reactor,414.77,90.61,183.61
Distillation Column-246,Distillation Column,152.4,64.63,209.77
Pump-247,Pump,126.02,37.39,352.22
Pump-248,Pump,92.73,40.36,331.87
Valve-249,Valve,16.42,46.75,489.84
Reactor-250,Reactor,522.58,64.61,428.28
Storage Tank-251,Storage Tank,345.29,168.17,159.12
Valve-252,Valve,157.69,180.6,182.23
Pump-253,Pump,475.66,144.52,357.43
Storage Tank-254,Storage Tank,849.58,51.31,80.38
Reactor-255,Reactor,12.34,2.41,388.05
Reactor-256,Reactor,277.16,118.66,286.67
Compressor-257,Compressor,893.84,191.06,486.54
Heat Exchanger-258,Heat Exchanger,53.31,102.39,295.6
Compressor-259,Compressor,423.02,126.49,466.39
Valve-260,Valve,768.57,174.09,413.86
Valve-261,Valve,448.98,61.93,88.0
Distillation Column-262,Distillation Column,759.48,21.89,186.46
Reactor-263,Reactor,725.78,151.46,423.72
Valve-264,Valve,997.15,136.12,311.16
Pump-265,Pump,267.79,54.95,273.84
Pump-266,Pump,571.7,29.68,94.98
Compressor-267,Compressor,454.1,107.44,468.12
Distillation Column-268,Distillation Column,504.4,48.54,486.42
Valve-269,Valve,446.21,58.01,274.33
Heat Exchanger-270,Heat Exchanger,768.27,80.89,41.64
Storage Tank-271,Storage Tank,394.42,143.72,406.06
Distillation Column-272,Distillation Column,542.89,5.66,247.61
Pump-273,Pump,597.48,154.99,206.12
Reactor-274,Reactor,150.27,30.54,129.4
Valve-275,Valve,102.68,99.55,162.17
Storage Tank-276,Storage Tank,710.42,92.77,116.25
Heat Exchanger-277,Heat Exchanger,904.48,71.21,299.3
Reactor-278,Reactor,758.56,109.82,284.26
Pump-279,Pump,603.79,108.68,230.65
Storage Tank-280,Storage Tank,276.53,159.15,327.17
Valve-281,Valve,705.55,13.63,318.63
Distillation Column-282,Distillation Column,848.56,65.33,28.27
Pump-283,Pump,218.77,60.54,117.51
Compressor-284,Compressor,691.28,20.86,74.28
Storage Tank-285,Storage Tank,460.05,134.3,125.03
Reactor-286,Reactor,71.24,140.31,411.65
Storage Tank-287,Storage Tank,480.28,124.57,406.83
Pump-288,Pump,699.54,167.69,304.27
Compressor-289,Compressor,547.21,55.23,172.07
Reactor-290,Reactor,827.5,159.87,300.02
Compressor-291,Compressor,604.79,142.32,115.45
Valve-292,Valve,829.73,91.79,221.27
Heat Exchanger-293,Heat Exchanger,368.55,39.4,184.56
Distillation Column-294,Distillation Column,390.43,127.13,322.05
Pump-295,Pump,104.35,104.88,241.99
Valve-296,Valve,891.45,153.16,181.93
Pump-297,Pump,783.65,165.45,372.83
Storage Tank-298,Storage Tank,988.94,128.69,463.22
Valve-299,Valve,320.44,91.0,289.42
Valve-300,Valve,257.39,175.41,45.31
Valve-301,Valve,436.51,48.46,300.13
Storage Tank-302,Storage Tank,881.23,197.06,296.04
Reactor-303,Reactor,549.48,36.73,170.17
Pump-304,Pump,935.47,106.34,123.8
Storage Tank-305,Storage Tank,693.46,153.07,388.53
Distillation Column-306,Distillation Column,495.76,84.62,482.13
Storage Tank-307,Storage Tank,968.97,34.62,89.19
Compressor-308,Compressor,963.85,140.89,361.07
Valve-309,Valve,705.81,91.35,385.71
Compressor-310,Compressor,929.29,41.29,31.1
Storage Tank-311,Storage Tank,766.03,121.32,248.76
Pump-312,Pump,157.89,171.56,411.44
Reactor-313,Reactor,617.5,152.55,102.63
Pump-314,Pump,511.49,65.63,188.83
Pump-315,Pump,140.56,117.21,482.91
Reactor-316,Reactor,849.02,55.75,366.37
Storage Tank-317,Storage Tank,144.07,96.53,88.8
Reactor-318,Reactor,256.56,194.45,267.53
Heat Exchanger-319,Heat Exchanger,731.12,101.39,294.52
Compressor-320,Compressor,36.96,65.69,294.35
Pump-321,Pump,758.84,26.75,208.92
Reactor-322,Reactor,596.33,96.74,62.75
Storage Tank-323,Storage Tank,609.24,98.57,55.22
Valve-324,Valve,941.55,32.55,39.21
Compressor-325,Compressor,857.48,65.71,243.71
Valve-326,Valve,309.81,4.56,221.47
Valve-327,Valve,553.21,153.16,376.36
Distillation Column-328,Distillation Column,723.49,11.39,428.47
Valve-329,Valve,748.41,37.84,58.04
Storage Tank-330,Storage Tank,546.6,62.36,306.25
Valve-331,Valve,443.69,90.86,310.16
Valve-332,Valve,138.35,199.47,263.2
Storage Tank-333,Storage Tank,254.38,32.67,195.74
Heat Exchanger-334,Heat Exchanger,478.75,162.23,141.66
Pump-335,Pump,464.48,105.04,84.54
Storage Tank-336,Storage Tank,998.03,185.79,47.91
Storage Tank-337,Storage Tank,660.24,79.72,221.97
Reactor-338,Reactor,918.0,86.44,195.64
Compressor-339,Compressor,955.35,50.68,404.49
Heat Exchanger-340,Heat Exchanger,497.38,101.26,447.79
Heat Exchanger-341,Heat Exchanger,406.89,15.86,432.29
Valve-342,Valve,438.84,80.79,498.62
Heat Exchanger-343,Heat Exchanger,55.72,199.62,257.74
Compressor-344,Compressor,879.48,130.39,328.23
Pump-345,Pump,842.94,3.01,47.92
Heat Exchanger-346,Heat Exchanger,250.57,79.24,142.34
Heat Exchanger-347,Heat Exchanger,800.49,31.39,452.08
Storage Tank-348,Storage Tank,274.58,116.18,142.52
Heat Exchanger-349,Heat Exchanger,967.69,91.2,428.99
Pump-350,Pump,714.4,48.37,315.27
Valve-351,Valve,256.09,125.11,155.21
Distillation Column-352,Distillation Column,49.43,152.1,411.1
Pump-353,Pump,379.48,76.22,63.26
Pump-354,Pump,30.04,153.35,149.85
Heat Exchanger-355,Heat Exchanger,352.05,2.32,117.58
Compressor-356,Compressor,668.35,150.3,148.07
Distillation Column-357,Distillation Column,467.33,147.1,397.7
Pump-358,Pump,943.04,5.21,415.22
Pump-359,Pump,617.99,74.31,439.2
Valve-360,Valve,566.17,190.71,220.63
Heat Exchanger-361,Heat Exchanger,284.83,8.94,362.4
Reactor-362,Reactor,323.0,99.14,64.4
Heat Exchanger-363,Heat Exchanger,725.7,118.41,444.75
Distillation Column-364,Distillation Column,721.54,143.2,392.55
Compressor-365,Compressor,939.0,23.4,389.33
Storage Tank-366,Storage Tank,733.97,135.37,214.52
Distillation Column-367,Distillation Column,415.38,91.61,43.58
Heat Exchanger-368,Heat Exchanger,220.68,64.38,157.38
Compressor-369,Compressor,999.77,141.41,82.0
Pump-370,Pump,208.42,170.86,43.77
Reactor-371,Reactor,43.49,29.28,416.89
Valve-372,Valve,304.31,142.42,402.01
Heat Exchanger-373,Heat Exchanger,312.85,130.9,212.82
Storage Tank-374,Storage Tank,518.24,189.31,253.3
Reactor-375,Reactor,265.46,116.88,97.47
Distillation Column-376,Distillation Column,980.3,89.86,195.37
Compressor-377,Compressor,376.9,153.5,65.32
Distillation Column-378,Distillation Column,789.5,110.98,473.44
Valve-379,Valve,430.98,186.31,371.4
Valve-380,Valve,152.18,93.88,371.46
Distillation Column-381,Distillation Column,861.25,49.19,255.55
Reactor-382,Reactor,744.17,84.54,444.14
Compressor-383,Compressor,44.27,17.97,25.03
Compressor-384,Compressor,918.96,8.18,492.6
Compressor-385,Compressor,412.64,18.66,407.51
Storage Tank-386,Storage Tank,577.92,25.25,295.07
Compressor-387,Compressor,831.32,158.99,341.89
Distillation Column-388,Distillation Column,380.83,64.12,236.43
Valve-389,Valve,686.81,165.28,465.67
Valve-390,Valve,41.69,52.75,111.18
Reactor-391,Reactor,278.21,177.98,109.29
Valve-392,Valve,411.2,178.68,73.76
Distillation Column-393,Distillation Column,477.61,42.01,223.09
Heat Exchanger-394,Heat Exchanger,409.1,64.25,429.89
Distillation Column-395,Distillation Column,329.94,54.81,455.15
Storage Tank-396,Storage Tank,978.96,158.44,406.42
Reactor-397,Reactor,413.21,136.55,134.8
Heat Exchanger-398,Heat Exchanger,698.72,74.39,369.6
Reactor-399,Reactor,728.46,16.49,51.45
Pump-400,Pump,185.85,191.01,41.59
Pump-401,Pump,238.62,76.62,302.07
Compressor-402,Compressor,341.98,147.21,338.24
Valve-403,Valve,497.09,43.07,444.98
Reactor-404,Reactor,773.17,1.06,90.97
Valve-405,Valve,142.54,66.69,488.78
Storage Tank-406,Storage Tank,179.39,51.86,190.32
Pump-407,Pump,47.72,21.84,32.09
Reactor-408,Reactor,20.25,160.17,141.46
Valve-409,Valve,960.35,5.93,128.94
Storage Tank-410,Storage Tank,618.33,106.8,132.04
Storage Tank-411,Storage Tank,215.95,143.92,208.65
Reactor-412,Reactor,792.39,181.81,126.59
Valve-413,Valve,464.26,72.48,458.87
Reactor-414,Reactor,759.47,103.28,182.76
Compressor-415,Compressor,458.83,3.85,84.72
Pump-416,Pump,889.92,75.52,367.13
Valve-417,Valve,155.02,160.66,404.19
Valve-418,Valve,836.97,104.16,270.4
Distillation Column-419,Distillation Column,457.37,48.31,427.55
Valve-420,Valve,282.52,146.54,267.64
Compressor-421,Compressor,475.41,79.51,212.63
Distillation Column-422,Distillation Column,299.68,143.97,214.88
Heat Exchanger-423,Heat Exchanger,89.62,152.83,186.18
Valve-424,Valve,548.84,188.95,247.0
Storage Tank-425,Storage Tank,902.12,143.91,31.77
Heat Exchanger-426,Heat Exchanger,656.72,29.34,323.23
Valve-427,Valve,391.45,2.85,409.39
Valve-428,Valve,390.57,61.77,496.62
Heat Exchanger-429,Heat Exchanger,669.53,1.47,129.09
Reactor-430,Reactor,452.2,14.03,301.6
Pump-431,Pump,383.6,1.51,497.68
Distillation Column-432,Distillation Column,346.82,25.08,445.16
Distillation Column-433,Distillation Column,353.25,76.36,137.27
Reactor-434,Reactor,861.36,78.69,44.6
Pump-435,Pump,217.44,67.39,341.01
Reactor-436,Reactor,445.94,131.35,422.68
Heat Exchanger-437,Heat Exchanger,558.0,35.01,147.94
Valve-438,Valve,616.17,10.42,463.0
Reactor-439,Reactor,546.79,94.66,169.63
Reactor-440,Reactor,426.25,140.42,481.21
Valve-441,Valve,860.17,179.92,402.0
Storage Tank-442,Storage Tank,790.2,24.17,256.77
Distillation Column-443,Distillation Column,609.02,189.45,281.53
Reactor-444,Reactor,762.74,5.92,182.94
Distillation Column-445,Distillation Column,879.27,107.93,378.47
Reactor-446,Reactor,984.32,34.64,61.36
Heat Exchanger-447,Heat Exchanger,989.21,190.06,35.94
Heat Exchanger-448,Heat Exchanger,655.49,170.95,30.01
Compressor-449,Compressor,903.08,97.88,492.82
Storage Tank-450,Storage Tank,771.48,15.51,234.0
Compressor-451,Compressor,312.12,105.46,139.33
Pump-452,Pump,738.44,28.72,115.9
Heat Exchanger-453,Heat Exchanger,993.37,143.23,357.94
Distillation Column-454,Distillation Column,5.77,44.0,90.25
Heat Exchanger-455,Heat Exchanger,510.23,113.39,249.44
Heat Exchanger-456,Heat Exchanger,203.5,142.76,86.88
Pump-457,Pump,442.28,168.66,448.01
Reactor-458,Reactor,154.88,190.18,250.45
Heat Exchanger-459,Heat Exchanger,26.36,84.07,331.65
Valve-460,Valve,578.39,193.22,233.47
Distillation Column-461,Distillation Column,112.15,69.18,413.05
Reactor-462,Reactor,264.28,117.91,278.79
Compressor-463,Compressor,390.22,124.39,31.16
Storage Tank-464,Storage Tank,31.55,29.81,459.38
Reactor-465,Reactor,119.1,95.46,277.59
Heat Exchanger-466,Heat Exchanger,93.57,183.97,252.05
Valve-467,Valve,691.79,59.63,130.49
Reactor-468,Reactor,54.21,80.83,357.5
Reactor-469,Reactor,32.98,104.11,429.91
Distillation Column-470,Distillation Column,218.88,47.4,349.36
Valve-471,Valve,15.08,68.51,365.11
Compressor-472,Compressor,491.02,168.45,350.36
Heat Exchanger-473,Heat Exchanger,158.14,121.47,385.35
Valve-474,Valve,991.95,97.2,48.15
Valve-475,Valve,845.79,132.94,171.79
Valve-476,Valve,103.84,48.85,42.55
Reactor-477,Reactor,713.3,54.69,383.27
Valve-478,Valve,208.72,176.49,53.38
Pump-479,Pump,585.86,98.0,296.78
Pump-480,Pump,474.93,190.15,298.28
Compressor-481,Compressor,13.16,149.58,198.96
Pump-482,Pump,848.8,148.72,222.5
Pump-483,Pump,825.81,161.1,374.73
Distillation Column-484,Distillation Column,946.68,79.25,412.68
Valve-485,Valve,92.95,124.53,186.17
Heat Exchanger-486,Heat Exchanger,147.37,52.42,326.36
Reactor-487,Reactor,37.86,112.87,137.84
Heat Exchanger-488,Heat Exchanger,666.93,149.22,185.21
Pump-489,Pump,776.01,75.5,100.13
Storage Tank-490,Storage Tank,291.44,167.37,120.84
Reactor-491,Reactor,496.9,24.57,59.24
Pump-492,Pump,313.57,50.78,160.15
Heat Exchanger-493,Heat Exchanger,648.14,156.12,194.7
Storage Tank-494,Storage Tank,633.05,189.26,70.59
Pump-495,Pump,975.69,25.88,52.94
Pump-496,Pump,464.49,144.04,292.21
Heat Exchanger-497,Heat Exchanger,673.33,45.78,349.18
Pump-498,Pump,40.97,183.72,285.62
Distillation Column-499,Distillation Column,882.33,98.01,160.71
Storage Tank-500,Storage Tank,774.63,141.73,66.66
Heat Exchanger-501,Heat Exchanger,767.95,171.48,300.18
Pump-502,Pump,104.58,132.91,216.87
Reactor-503,Reactor,769.9,105.97,128.0
Heat Exchanger-504,Heat Exchanger,997.02,78.41,265.15
Valve-505,Valve,4.94,79.57,267.22
Reactor-506,Reactor,943.42,117.07,292.84
Pump-507,Pump,160.2,115.31,151.03
Distillation Column-508,Distillation Column,726.95,125.87,185.61
Compressor-509,Compressor,330.76,2.15,414.1
Storage Tank-510,Storage Tank,855.52,22.22,346.72
Reactor-511,Reactor,29.46,89.35,360.82
Valve-512,Valve,625.42,50.56,303.84
Compressor-513,Compressor,445.31,85.41,264.85
Valve-514,Valve,300.73,88.25,158.17
Storage Tank-515,Storage Tank,133.14,35.76,115.6
Heat Exchanger-516,Heat Exchanger,512.15,8.57,223.35
Heat Exchanger-517,Heat Exchanger,992.98,178.52,396.22
Valve-518,Valve,337.17,104.73,390.94
Distillation Column-519,Distillation Column,491.62,165.25,34.8
Heat Exchanger-520,Heat Exchanger,808.31,92.86,252.09
Pump-521,Pump,191.97,133.72,161.85
Pump-522,Pump,990.7,152.88,54.99
Valve-523,Valve,581.98,110.95,72.39
Storage Tank-524,Storage Tank,81.3,162.6,246.17
Valve-525,Valve,179.33,156.34,121.24
Pump-526,Pump,723.9,115.96,199.26
Valve-527,Valve,83.68,68.14,52.03
Heat Exchanger-528,Heat Exchanger,721.21,41.83,307.86
Distillation Column-529,Distillation Column,113.86,9.96,47.31
Distillation Column-530,Distillation Column,660.65,148.54,66.3
Compressor-531,Compressor,300.89,75.04,54.04
Storage Tank-532,Storage Tank,915.65,160.02,211.14
Compressor-533,Compressor,729.68,116.13,416.91
Reactor-534,Reactor,119.88,79.93,484.38
Valve-535,Valve,504.42,109.81,45.26
Distillation Column-536,Distillation Column,37.11,24.35,380.37
Reactor-537,Reactor,318.58,83.17,113.2
Storage Tank-538,Storage Tank,53.14,99.38,420.25
Storage Tank-539,Storage Tank,716.09,49.78,471.43
Distillation Column-540,Distillation Column,797.44,55.18,20.57
Storage Tank-541,Storage Tank,947.82,18.14,73.38
Compressor-542,Compressor,42.75,58.96,230.1
Compressor-543,Compressor,25.59,150.92,481.59
Valve-544,Valve,824.0,105.27,82.09
Compressor-545,Compressor,122.62,74.39,436.82
Compressor-546,Compressor,389.44,112.93,201.47
